id,text,tag,date,partition
d4504c8987994aea84c8bbf269857ac4,Sie führte als Beispiel einen Kurden auf.,noclaim,2015-01-01,train
de745b820abd4badb0bcdebb2a78805c,Die Bundeskanzlerin warnt vor Pegida-Demonstrationen,claim,2015-01-01,train
9cae31a8be5e44c394c252a3d0a647b3,zu mehr Menschlichkeit im Umgang mit Flüchtlingen aufgerufen hatte.,claim,2015-01-01,train
356710e6512947bb8a4f45764a1d985d,"Es sei  ""selbstverständlich, dass wir ihnen helfen und Menschen aufnehmen, die bei uns Zuflucht suchen""",claim,2015-01-01,train
57c044677db3405ab99fc3a1c0a72c9c,Opposition lobt Merkels deutliche Worte   DEUTSCHLAND    BERLIN taz | Ungewöhnlich deutliche Äußerungen zur Aufnahme von Flüchtlingen und zu den Pegida-Demonstrationen haben Bundeskanzlerin Angela Merkel (CDU) Lob auch von den Oppositionsparteien Grüne und Linke eingebracht.,noclaim,2015-01-01,train
1b045e352e1d43a39227fa25cd4f2daf,Die AfD kritisierte dagegen Merkels Neujahrsansprache heftig.,noclaim,2015-01-01,train
ec30b0f90faf44a3988e4d435e1f382a,"Die grüne Bundestagsfraktionschefin Katrin Göring-Eckhardt sagte, es sei richtig, dass die Kanzlerin unumwunden vor den Pegida-Demonstrationen gewarnt und Jan Korte von der Linkspartei sagte, Merkels Abgrenzung von Pegida sei  ""begrüßenswert"" .",noclaim,2015-01-01,train
0211f5a208a3444eb7f274a38a79b185,"Beide Parteien forderten die Kanzlerin auf, den Worten nun Taten folgen zu lassen.",noclaim,2015-01-01,train
90a5fa48d21b443a893d455fe5b3adca,"""Regieren statt präsidieren, mehr Klarheit statt Nebel – das wäre für Frau Merkel doch ein guter Vorsatz für 2015"" , sagte Göring-Eckardt.",noclaim,2015-01-01,train
c50cfd67ee7d44258d7378fa1250059a,"Die Kanzlerin hatte in ihrer Ansprache erklärt, viele Flüchtlinge seien  ""buchstäblich dem Tod entronnen"" .",noclaim,2015-01-01,train
c8a1f0faeeaa4e208f630e7390d230f1,"Der Mann sei unter Lebensgefahr aus dem Irak geflohen, sagte Merkel:  ""Er habe gesagt, das Wichtigste sei für ihn in Deutschland, dass seine Kinder hier ohne Furcht aufwachsen könnten.""",noclaim,2015-01-01,train
6e8b30f486a14b8ebc0fa4b86577fbc8,"Das, so Merkel,  ""ist vielleicht das größte Kompliment, dass man unserem Land machen kann: dass die Kinder Verfolgter hier ohne Furcht groß werden könnten"" .",noclaim,2015-01-01,train
f7940f08bbef440494ff9cb1220523d0,"Zu den Pegida-Kundgebungen sagte sie:  ""Heute rufen manche montags wieder ‚Wir sind das Volk‘.",noclaim,2015-01-01,train
5eca01e765c74cf9a83ef789fa9434f9,"Aber tatsächlich meinen sie: Ihr gehört nicht dazu – wegen eurer Hautfarbe oder eurer Religion.""",noclaim,2015-01-01,train
d929b5e8aef741e9ad46923761b89997,"Denn zu oft sind Vorurteile, ist Kälte, ja sogar Hass in deren Herzen!""",noclaim,2015-01-01,train
3edd89ba437c4e83bd3d34b479ee3178,Heftige Kritik an Merkels Äußerungen kam von der AfD.,noclaim,2015-01-01,train
